Region,Instance Type,Database Engine,Model
ap-northeast-2,db.r7i.8xlarge,Aurora PostgreSQL,Standard
ap-northeast-2,db.r7i.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.r7i.12xlarge,Aurora MySQL,Standard
ap-northeast-2,db.r7i.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-2,db.r7i.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-2,db.r7i.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.r7i.16xlarge,Aurora MySQL,Standard
ap-northeast-2,db.r7i.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-2,db.r7i.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-2,db.r7i.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t4g.micro,Aurora MySQL,Standard
ap-northeast-3,db.t4g.micro,Aurora MySQL,IOOptimized
ap-northeast-3,db.t4g.micro,Aurora PostgreSQL,Standard
ap-northeast-3,db.t4g.micro,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t4g.small,Aurora MySQL,Standard
ap-northeast-3,db.t4g.small,Aurora MySQL,IOOptimized
ap-northeast-3,db.t4g.small,Aurora PostgreSQL,Standard
ap-northeast-3,db.t4g.small,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t4g.medium,Aurora MySQL,Standard
ap-northeast-3,db.t4g.medium,Aurora MySQL,IOOptimized
ap-northeast-3,db.t4g.medium,Aurora PostgreSQL,Standard
ap-northeast-3,db.t4g.medium,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t4g.large,Aurora MySQL,Standard
ap-northeast-3,db.t4g.large,Aurora MySQL,IOOptimized
ap-northeast-3,db.t4g.large,Aurora PostgreSQL,Standard
ap-northeast-3,db.t4g.large,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t4g.xlarge,Aurora MySQL,Standard
ap-northeast-3,db.t4g.xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.t4g.xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.t4g.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t4g.2xlarge,Aurora MySQL,Standard
ap-northeast-3,db.t4g.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.t4g.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.t4g.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t3.micro,Aurora MySQL,Standard
ap-northeast-3,db.t3.micro,Aurora MySQL,IOOptimized
ap-northeast-3,db.t3.micro,Aurora PostgreSQL,Standard
ap-northeast-3,db.t3.micro,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t3.small,Aurora MySQL,Standard
ap-northeast-3,db.t3.small,Aurora MySQL,IOOptimized
ap-northeast-3,db.t3.small,Aurora PostgreSQL,Standard
ap-northeast-3,db.t3.small,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t3.medium,Aurora MySQL,Standard
ap-northeast-3,db.t3.medium,Aurora MySQL,IOOptimized
ap-northeast-3,db.t3.medium,Aurora PostgreSQL,Standard
ap-northeast-3,db.t3.medium,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t3.large,Aurora MySQL,Standard
ap-northeast-3,db.t3.large,Aurora MySQL,IOOptimized
ap-northeast-3,db.t3.large,Aurora PostgreSQL,Standard
ap-northeast-3,db.t3.large,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t3.xlarge,Aurora MySQL,Standard
ap-northeast-3,db.t3.xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.t3.xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.t3.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.t3.2xlarge,Aurora MySQL,Standard
ap-northeast-3,db.t3.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.t3.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.t3.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r5.large,Aurora MySQL,Standard
ap-northeast-3,db.r5.large,Aurora MySQL,IOOptimized
ap-northeast-3,db.r5.large,Aurora PostgreSQL,Standard
ap-northeast-3,db.r5.large,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r5.xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r5.xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r5.xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r5.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r5.2xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r5.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r5.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r5.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r5.4xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r5.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r5.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r5.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r5.8xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r5.8xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r5.8xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r5.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r5.12xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r5.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r5.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r5.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r5.16xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r5.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r5.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r5.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r5.24xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r5.24xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r5.24xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r5.24xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6i.large,Aurora MySQL,Standard
ap-northeast-3,db.r6i.large,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6i.large,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6i.large,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6i.xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6i.xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6i.xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6i.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6i.2xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6i.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6i.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6i.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6i.4xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6i.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6i.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6i.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6i.8xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6i.8xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6i.8xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6i.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6i.12xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6i.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6i.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6i.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6i.16xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6i.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6i.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6i.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6i.24xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6i.24xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6i.24xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6i.24xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6i.32xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6i.32xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6i.32xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6i.32xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6g.large,Aurora MySQL,Standard
ap-northeast-3,db.r6g.large,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6g.large,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6g.large,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6g.xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6g.xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6g.xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6g.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6g.2xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6g.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6g.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6g.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6g.4xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6g.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6g.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6g.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6g.8xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6g.8xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6g.8xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6g.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6g.12xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6g.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6g.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6g.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r6g.16xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r6g.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r6g.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r6g.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7g.large,Aurora MySQL,Standard
ap-northeast-3,db.r7g.large,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7g.large,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7g.large,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7g.xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7g.xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7g.xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7g.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7g.2xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7g.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7g.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7g.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7g.4xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7g.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7g.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7g.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7g.8xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7g.8xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7g.8xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7g.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7g.12xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7g.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7g.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7g.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7g.16xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7g.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7g.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7g.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7i.large,Aurora MySQL,Standard
ap-northeast-3,db.r7i.large,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7i.large,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7i.large,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7i.xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7i.xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7i.xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7i.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7i.2xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7i.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7i.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7i.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7i.4xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7i.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7i.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7i.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7i.8xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7i.8xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7i.8xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7i.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7i.12xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7i.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7i.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7i.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-3,db.r7i.16xlarge,Aurora MySQL,Standard
ap-northeast-3,db.r7i.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-3,db.r7i.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-3,db.r7i.16xlarge,Aurora PostgreSQL,IOOptimized
